greV,greQ,greA,cgpa,univName
165.0,169.0,4.5,9.8,University Of Southern California
160.0,166.0,4.0,3.9,Syracuse University
169.0,155.0,3.5,3.59,Rutgers University
162.0,170.0,3.0,3.7,University Of Texas At Austin
154.0,167.0,4.5,3.77,"University Of California, Berkeley"
157.0,148.0,0.0,3.75,Indiana University Bloomington
155.0,163.0,5.5,3.86,University Of Toronto
152.0,167.0,4.0,3.3,University Of Washington
155.0,169.0,4.0,3.85,"University Of California, Davis"
165.0,157.0,4.0,3.88,University Of Michigan
166.0,170.0,5.0,3.9,University Of Oxford
169.0,160.0,5.5,3.85,Georgetown University
169.0,160.0,5.5,3.85,Carnegie Mellon University
169.0,160.0,5.5,3.85,University Of Chicago
154.0,161.0,4.0,3.98,University Of Michigan
168.0,170.0,5.5,3.33,Johns Hopkins University
154.0,170.0,3.5,3.59,North Carolina State University
152.0,167.0,3.5,3.75,Carnegie Mellon University
163.0,170.0,0.0,4.0,University Of Pennsylvania
157.0,170.0,4.0,3.84,University Of Pennsylvania
170.0,170.0,5.0,3.92,Johns Hopkins University
162.0,170.0,4.5,3.7,Carnegie Mellon University
144.0,157.0,3.5,3.5,Michigan State University
159.0,170.0,4.0,9.99,University Of Minnesota
164.0,165.0,4.0,3.89,University Of Michigan
157.0,167.0,3.5,3.71,University Of Oxford
159.0,164.0,4.0,3.9,Carnegie Mellon University
148.0,160.0,3.0,3.93,Carnegie Mellon University
153.0,159.0,4.5,3.93,University Of Minnesota
150.0,170.0,3.0,3.81,McGill University
163.0,164.0,5.0,3.87,Johns Hopkins University
152.0,152.0,4.5,3.9,University Of South Carolina
154.0,163.0,4.0,3.89,Duke University
153.0,158.0,3.5,2.25,Northwestern University
160.0,167.0,3.0,3.87,"University Of Californa, Los Angeles (UCLA)"
148.0,163.0,3.0,4.5,Northwestern University
157.0,155.0,3.0,2.9,Cornell University
158.0,164.0,5.0,3.91,Michigan State University
159.0,169.0,4.0,3.62,University Of Arizona
162.0,150.0,4.5,2.97,Emory University
160.0,169.0,4.0,3.99,University Of Minnesota
153.0,167.0,3.5,3.5,Ohio State University
153.0,166.0,4.0,3.4,Ohio State University
157.0,160.0,4.0,4.0,Columbia University
155.0,169.0,3.5,3.6,Ohio State University
159.0,162.0,4.0,3.19,Johns Hopkins University
158.0,170.0,4.0,4.0,University Of Michigan
159.0,166.0,4.5,3.86,University Of Michigan
166.0,158.0,3.0,3.59,Columbia University
162.0,170.0,4.0,3.98,Carnegie Mellon University
152.0,167.0,4.0,3.3,"University Of California, Davis"
152.0,155.0,0.0,3.5,Arizona State University
151.0,170.0,3.0,3.72,Texas A&M University
169.0,160.0,4.0,3.8,Brown University
161.0,169.0,4.5,3.5,Boston University
160.0,160.0,5.0,3.65,University Of Michigan
162.0,170.0,4.5,3.6,University Of Michigan
155.0,160.0,4.5,3.8,Indiana University Bloomington
157.0,170.0,4.0,3.7,Purdue University
166.0,170.0,5.0,3.84,Carnegie Mellon University
168.0,167.0,5.5,3.85,Rice University
154.0,168.0,4.0,3.6,University Of Rochester
165.0,170.0,4.5,4.0,McGill University
154.0,168.0,4.0,3.6,"University Of California, Davis"
155.0,164.0,3.5,3.85,Ohio State University
158.0,164.0,3.5,3.7,University Of Florida
161.0,150.0,4.5,3.6,University Of Kansas
168.0,170.0,5.5,3.8,NCSU (North Carolina State University)
168.0,156.0,3.0,3.4,University Of Florida
158.0,169.0,4.5,3.7,Columbia University
162.0,154.0,3.5,3.4,Carnegie Mellon University
152.0,167.0,4.0,3.3,"University Of California, San Diego"
152.0,167.0,4.0,3.3,"University Of California, San Diego"
